Abstract,Associated Group,Author Identifiers,Authors,Authors (Full Names),Beginning Page,BIOSIS Citation Index,Book Author,Book Author Fullname,Book DOI,Book Group Authors,Book Series Subtitle,Book Series Title,Chinese Science Citation DB,Cited Patent,Cited Reference Count,Cited References,City of Publisher,Conference Dates,Conference Host,Conference Location,Conference Sponsors,Conference Title,Document Type,DOI,E-mail Addresses,Edited by,Editors,Ending Page,File Type,Funding Agency and Grant Number,Funding Text,Group Authors,ISBN,ISI Document Delivery Number,ISSN,Issue,Journal Name (Abbreviated ISO),Journal Name (Abbreviated),Journal Title (Full),Language,Meeting Abstract,New Article Number,New ISI Keywords,Number of Pages,ORCID Number,Original Keywords,Part Number,Publication Date,Publication Type,Publication Year,Publisher,Publisher Address,Publisher Web Address,Reprint Address,Research Addresses,Research Field,Researcher ID,SC:ELO Citation Index,Special Issue,Subject Category,Supplement,Times Cited,Title,Total Times Cited,Translated Title,Unique ID,Version Number,Volume,EI,PM,File Name,Cite Me As
"The most prevalent behavioral health disorder among youth involved in the criminal justice system is a conduct disorder. Given the high rate of early mortality found by Border and colleagues for youth with a conduct disorder, an expansion of evidence-based treatments for youth involved in criminal justice is a public health priority.",,,"Aalsma, MC","Aalsma, Matthew C.",2116,-1,,,,,,,-1,,-1,,,,,,,,Editorial Material,10.1111/add.14419,,,,2117,Clarivate Analytics Web of Science,,,,,,0965-2140,11,,,ADDICTION,,,,DISRUPTIVE BEHAVIOR DISORDERS|MENTAL-DISORDERS|FAMILY-THERAPY|SUBSTANCE USE|US CHILDREN|ADOLESCENTS,-1,"aalsma, matthew/0000-0001-5952-6785",Adolescents|behavioral health|conduct disorder|evidence-based treatment|juvenile justice|mortality,,NOV,J,2018,,,,,,Substance Abuse|Psychiatry,,-1,,Substance Abuse; Psychiatry,,0,"Commentary on Border et al. (2018): The public health burden of conduct disorder, early mortality and criminal justice involvement",0,,WOS:000446549800017,1,113,1360-0443,30215875,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Aalsma MC, 2018, V113, P2116, DOI 10.1111/add.14419"
"Purpose: Employment opportunities for graduating pediatric surgeons vary from year to year. Significant turnover among new employees indicates fellowship graduates may be unsophisticated in choosing job opportunities which will ultimately be satisfactory for themselves and their families. The purpose of this study was to assess what career, life, and social factors contributed to the turnover rates among pediatric surgeons in their first employment position. Methods: American Pediatric Surgical Association members who completed fellowship training between 2011 and 2016 were surveyed voluntarily. Only those who completed training in a pediatric surgery fellowship sanctioned by the American Board of Surgery and whose first employment involved the direct surgical care of patients were included. The survey was completed electronically and the results were evaluated using chi-squared analysis to determine which independent variables contributed to a dependent outcome of changing place of employment. Results: 110 surveys were returned with respondents meeting inclusion criteria. 13 (11.8%) of the respondents changed jobs within the study period and 97 (882%) did not change jobs. Factors identified that likely contributed to changing jobs included a perceived lack of opportunity for career [p = <0.001] advancement and the desire to no longer work at an academic or teaching facility [p = 0.013]. Others factors included excessive case load [p = 0.006]; personal conflict with partners or staff [p = 0.007]; career goals unfulfilled by practice [p = 0.011]; lack of mentorship in partners [p = 0.026]; and desire to be closer to the surgeon's or their spouse's family [p = 0.002]. Conclusions: Several factors appear to play a role in motivating young pediatric surgeons to change jobs early in their careers. These factors should be taken into account by senior pediatric fellows and their advisors when considering job opportunities. Type of Study: Survey. (C) 2018 Elsevier Inc. All rights reserved.",,,"Applebaum, H|Bell, TM|Crafts, TD|Markel, TA|Srisuwananukorn, A","Applebaum, Harry|Bell, Teresa M.|Crafts, Trevor D.|Markel, Troy A.|Srisuwananukorn, Andrew",2273,-1,,,,,,,-1,,-1,,,,,,,,Article,10.1016/j.jpedsurg.2018.04.028,,,,2278,Clarivate Analytics Web of Science,,,,,,0022-3468,11,,,JOURNAL OF PEDIATRIC SURGERY,,,,,-1,,First jobs|Pediatric surgeons|Membership committee|Job satisfaction,,NOV,J,2018,,,,,,Pediatrics|Surgery,,-1,,Pediatrics; Surgery,,0,Accounting for early job turnover in recent pediatric surgery fellowship graduates: An American Pediatric Surgical Association Membership and Credentials Committee study,0,,WOS:000446881300036,1,53,1531-5037,29784283,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Crafts TD, 2018, V53, P2273, DOI 10.1016/j.jpedsurg.2018.04.028"
"IMPORTANCE The influence of Tourette syndrome and chronic tic disorders on academic performance has not been objectively quantified. OBJECTIVE To investigate the association of Tourette syndrome and chronic tic disorders with objectively measured educational outcomes, adjusting for measured covariates and unmeasured factors shared between siblings and taking common psychiatric comorbidities into account. DESIGN, SETTING, AND PARTICIPANTS A population-based birth cohort consisting of all individuals born in Sweden from 1976 to 1998 was followed up until December 2013. Individuals with organic brain disorders, mental retardation, and 2 foreign-born parents were excluded. We further identified families with at least 2 singleton full siblings and families with siblings discordant for Tourette syndrome or chronic tic disorders. EXPOSURES Previously validated International Classification of Diseases diagnoses of Tourette syndrome or chronic tic disorders in the Swedish National Patient Register. MAIN OUTCOMES AND MEASURES Eligibility to access upper secondary school after compulsory education, finishing upper secondary school, starting a university degree, and finishing a university degree. RESULTS Of the 2 115 554 individuals in the cohort, 3590 had registered a diagnosis of Tourette syndrome or a chronic tic disorder in specialist care (of whom 2822 [78.6%] were male; median [interquartile] age at first diagnosis, 14.0 [11- 18] years). Of 726 198 families with at least 2 singleton full siblings, 2697 included siblings discordant for these disorders. Compared with unexposed individuals, people with Tourette syndrome or chronic tic disorders were significantly less likely to pass all core and additional courses at the end of compulsory school (odds ratios ranging from 0.23 [95% CI, 0.20-0.26] for the handcraft textile/ wood course to 0.36 [95% CI, 0.31-0.41] for the English language course) and to access a vocational program (adjusted OR [aOR], 0.31; 95% CI, 0.28-0.34) or academic program (aOR, 0.43; 95% CI, 0.39-0.47) in upper secondary education. Individuals with the disorders were also less likely to finish upper secondary education (aOR, 0.35; 95% CI, 0.32-0.37), start a university degree (aOR, 0.41; 95% CI, 0.37-0.46), and finish a university degree (aOR, 0.39; 95% CI, 0.32-0.48). The results were only marginally attenuated in the fully adjusted sibling comparison models. Exclusion of patients with neuropsychiatric comorbidities, particularly attention-deficit/hyperactivity disorder and pervasive developmental disorders, resulted in attenuated estimates, but patients with Tourette syndrome or chronic tic disorders were still significantly impaired across all outcomes. CONCLUSIONS AND RELEVANCE Help-seeking individuals with Tourette syndrome or chronic tic disorders seen in specialist settings experience substantial academic underachievement across all educational levels, spanning from compulsory school to university, even after accounting for multiple confounding factors and psychiatric comorbidities.",,,"Brander, G|de la Cruz, LF|D'Onofrio, BM|Hesselmark, E|Isomura, K|Jangmo, A|Kuja-Halkola, R|Larsson, H|Mataix-Cols, D|Perez-Vigil, A","Brander, Gustaf|de la Cruz, Lorena Fernandez|D'Onofrio, Brian M.|Hesselmark, Eva|Isomura, Kayoko|Jangmo, Andreas|Kuja-Halkola, Ralf|Larsson, Henrik|Mataix-Cols, David|Perez-Vigil, Ana",1098,-1,,,,,,,-1,,-1,,,,,,,,Article,10.1001/jamaneurol.2018.1194,,,,1105,Clarivate Analytics Web of Science,,,,,,2168-6149,9,,,JAMA NEUROLOGY,,,,OBSESSIVE-COMPULSIVE DISORDER|CHILDREN|PREVALENCE|SCHOOL|COMORBIDITIES|DIFFICULTIES|METAANALYSIS|SYMPTOMS|REGISTER|IMPACT,-1,,,,SEP,J,2018,,,,,,Clinical Neurology,,-1,,Neurosciences & Neurology,,0,Association of Tourette Syndrome and Chronic Tic Disorders With Objective Indicators of Educational Attainment A Population-Based Sibling Comparison Study,0,,WOS:000444201900010,1,75,2168-6157,29813161,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Perez-Vigil A, 2018, V75, P1098, DOI 10.1001/jamaneurol.2018.1194"
"Mixing alcohol with caffeinated energy drinks is a common practice, especially among young people. In humans, the research on this issue has mainly focused on the use of the mass-marketed energy drinks themselves, whereas in animal models, it has focused on the individual effects of their active ingredients (i.e. caffeine). Here, we have characterized how Red Bull (R), one of the most consumed caffeinated energy drink worldwide, modulates operant alcohol self-administration in Wistar rats. We found that animals readily and steadily responded for Red Bull (mean: 90 responses, 30minutes and fixed-ratio 1), which was accompanied by locomotor stimulating effects (26 percent increase). The higher the concentration of alcohol (3-20 percent), the higher the consumption of alcohol (g/kg) and associated blood alcohol levels (91.76 percent) in the mixed Red Bull-alcohol group (60 percent increase). Blood caffeine levels in the Red Bull group were 4.69 mu g/ml and 1.31g/ml in the Red Bull-alcohol group after the 30-minute session. Because Red Bull also contains 11 percent sucrose, we examined the time course of blood glucose as well as insulin and corticosterone. The correlation between intake of Red Bull and blood glucose levels was higher at 90 minutes than 5 minutes after its consumption, and there was no relationship with blood insulin or blood corticosterone levels. Red Bull did not alter extinction and reacquisition of responding for alcohol nor did it affect relapse-like drinking. Overall, our results suggest that Red Bull might be a vulnerability factor to develop alcoholism given that it intensifies the consumption of higher concentrations of alcohol.",,,"Lopez-Moreno, JA|Boehm, SL|Buhler, KM|Calleja-Conde, J|Echeverry-Alzate, V|Gine, E|Gomez-Gallego, F|Maldonado, R|Olmos, P|de Fonseca, FR|Roldan, M|Sanchez-Diez, IJ|Santiago, C","Antonio Lopez-Moreno, Jose|Boehm, Stephen L.|Buhler, Kora-Mareen|Calleja-Conde, Javier|Echeverry-Alzate, Victor|Gine, Elena|Gomez-Gallego, Felix|Maldonado, Rafael|Olmos, Pedro|Rodriguez de Fonseca, Fernando|Roldan, Marta|Sanchez-Diez, Israel J.|Santiago, Catalina",1094,-1,,,,,,,-1,,-1,,,,,,,,Article,10.1111/adb.12560,,,,1105,Clarivate Analytics Web of Science,,,,,,1355-6215,5,,,ADDICTION BIOLOGY,,,,MIXING ALCOHOL|NONALCOHOLIC BEVERAGES|HIGH-RISK|CAFFEINE|ETHANOL|SEEKING|RATS|DEPRIVATION|EXPRESSION|EXPOSURE,-1,,alcohol|energy drink|operant self-administration,,SEP,J,2018,,,,,,Biochemistry & Molecular Biology|Substance Abuse,,-1,,Biochemistry & Molecular Biology; Substance Abuse,,0,Red Bull (R) energy drink increases consumption of higher concentrations of alcohol,0,,WOS:000442203900010,1,23,1369-1600,,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Roldan M, 2018, V23, P1094, DOI 10.1111/adb.12560"
"Objective: Peer victimization in school is common, with emerging literature suggesting that it may also increase risk for substance abuse. Yet, little is known about the underlying mechanisms within this risk pathway. The objective of this study is to use a prospective 3-wave design to examine the mediating role of depressive symptomatology on the relationship between peer victimization and substance use, as well as examine if the pathway varies based on gender. Method: 801 youth between 6th and 12th grade completed surveys across three years, which included measures on school peer victimization, depression symptomatology and substance use. Models tested the mediational pathway between victimization, depressive symptoms, and substance use. Models were stratified by gender. Results: Controlling for grade and the effect of each variable across waves, a significant indirect effect of peer victimization on substance use through depressive symptoms was found for females, with a non-significant indirect effect for males. Conclusion: Results suggest that female youth who are victimized by peers engage in substance use behaviors, at least in part, due to increases in depressive symptoms. Given its effect on depression, female victims may therefore benefit from coping skills training that targets emotion regulation and distress tolerance skills in order to combat increased risk for substance use behaviors as a coping response to their victimization. Further research is warranted to better understand the risk pathway for male youth who also experience peer victimization.",,,"Barnes-Najor, J|Fisher, S|Hensel, DJ|Rowe, AT|Zapolski, TCB","Barnes-Najor, Jessica|Fisher, Sycarah|Hensel, Devon J.|Rowe, Alia T.|Zapolski, Tamika C. B.",160,-1,,,,,,,-1,,-1,,,,,,,,Article,10.1016/j.addbeh.2018.04.010,,,,166,Clarivate Analytics Web of Science,,,,,,0306-4603,,,,ADDICTIVE BEHAVIORS,,,,ADOLESCENT BULLYING VICTIMIZATION|MIDDLE SCHOOL|DRUG-USE|EXTERNALIZING PROBLEMS|YOUNG ADULTHOOD|ASSOCIATION|BEHAVIORS|SYMPTOMS|MALADJUSTMENT|ADJUSTMENT,-1,"Zapolski, Tamika/0000-0003-0675-560X",Peer victimization|Adolescents|Gender|Depression|Substance use,,SEP,J,2018,,,,,,"Psychology, Clinical|Substance Abuse",,-1,,Psychology; Substance Abuse,,0,Peer victimization and substance use: Understanding the indirect effect of depressive symptomatology across gender,0,,WOS:000435058500026,1,84,1873-6327,29698871,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Zapolski TCB, 2018, V84, P160, DOI 10.1016/j.addbeh.2018.04.010"
"Background: Causal interpretation of associations between short interpregnancy interval (the duration from the preceeding birth to the conception of the next-born index child) and the offspring's psychological and educational problems may be influenced by a failure to account for unmeasured confounding. Methods: Using population-based Swedish data from 1973-2009, we estimated the association between interpregnancy interval and outcomes [autism spectrum disorder (ASD), attention-deficit/hyperactivity disorder (ADHD), severe mental illness, suicide attempt, criminality, substance-use problem and failing grades] while controlling for measured covariates. We then used cousin comparisons, post-birth intervals (the interval between the second-and third-born siblings to predict second-born outcomes) and sibling comparisons to assess the influence of unmeasured confounding. We included an exploratory analysis of long interpregnancy interval. Results: Interpregnancy intervals of 0-5 and 6-11 months were associated with higher odds of outcomes in cohort analyses. Magnitudes of association were attenuated following adjustment for measured covariates. Associations were eliminated for ADHD, severe mental illness and failing grades, but maintained magnitude for ASD, suicide attempt, criminality and substance-use problem in cousin comparisons. Post-birth interpregnancy interval and sibling comparisons suggested some familial confounding. Associations did not persist across models of long interpregnancy interval. Conclusions: Attenuation of the association in cousin comparisons and comparable post-birth interval associations suggests that familial genetic or environmental confounding accounts for a majority of the association for ADHD, severe mental illness and failing grades. Modest associations appear independently of covariates for ASD, suicide attempt, criminality and substance-use problem. Post-birth analyses and sibling comparisons, however, show some confounding in these associations.",,,"Almqvist, C|Class, QA|D'Onofrio, BM|Larsson, H|Lichtenstein, P|Oberg, AS|Rickert, ME|Sujan, AC","Almqvist, Catarina|Class, Quetzal A.|D'Onofrio, Brian M.|Larsson, Henrik|Lichtenstein, Paul|Oberg, Anna S.|Rickert, Martin|Sujan, Ayesha C.",1159,-1,,,,,,,-1,,-1,,,,,,,,Article,10.1093/ije/dyy042,,,,1168,Clarivate Analytics Web of Science,,,,,,0300-5771,4,,,INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,,,,AUTISM SPECTRUM DISORDERS|MATERNAL SMOKING|MENTAL-HEALTH|PREGNANCY INTERVAL|BIPOLAR DISORDER|BIRTH INTERVALS|VIOLENT CRIME|RISK-FACTORS|SCHIZOPHRENIA|INFECTION,-1,,pregnancy interval|birth spacing|psychopathology|case-comparison studies|interpregnancy interval,,AUG,J,2018,,,,,,"Public, Environmental & Occupational Health",,-1,,"Public, Environmental & Occupational Health",,0,Outcome-dependent associations between short interpregnancy interval and offspring psychological and educational problems: a population-based quasi-experimental study,0,,WOS:000444559900026,1,47,1464-3685,29566153,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Class QA, 2018, V47, P1159, DOI 10.1093/ije/dyy042"
,,,"Almqvist, C|D'Onofrio, BM|Hernandez-Diaz, S|Margulis, AV|McElrath, T|Oberg, AS|Plana, E|Rothman, KJ","Almqvist, Catarina|D'Onofrio, Brian M.|Hernandez-Diaz, Sonia|Margulis, Andrea V.|McElrath, Thomas|Oberg, Anna S.|Plana, Estel|Rothman, Kenneth J.",234,-1,,,,,,,-1,,-1,,,,,,,,Meeting Abstract,,,,,234,Clarivate Analytics Web of Science,,,,,,1053-8569,,,,PHARMACOEPIDEMIOLOGY AND DRUG SAFETY,,505,,,-1,,,,AUG,J,2018,,,,,,"Public, Environmental & Occupational Health|Pharmacology & Pharmacy",,-1,,"Public, Environmental & Occupational Health; Pharmacology & Pharmacy",2,0,"Antiepileptic drugs in pregnancy, and duration of pregnancy, birth weight, length and head circumference",0,,WOS:000441893802057,1,27,1099-1557,,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Margulis AV, 2018, V27, P234"
,,,"Boehm, SL|Smoker, MP","Boehm, Stephen L.|Smoker, Michael P.",42A,-1,,,,,,,-1,,-1,,,"SEP 09-13, 2018",,"Kyoto, JAPAN",,19th World Congress of International-Society-for-Biomedical-Research-on-Alcoholism (ISBRA),Meeting Abstract,,,,,42A,Clarivate Analytics Web of Science,,,,,,0145-6008,,,,ALCOHOLISM-CLINICAL AND EXPERIMENTAL RESEARCH,,P2-1-29,,,-1,,,,AUG,J,2018,,,,,,Substance Abuse,,-1,SI,Substance Abuse,2,0,EFFECT OF EXPERIMENTER- VERSUS SELF-ADMINISTERED DELTA-9-TETRAHYDROCANNABINOL ON ALCOHOL DRINKING IN MICE SELECTIVELY-BRED FOR HIGH (HAP2) AND LOW (LAP2) ALCOHOL PREFERENCE,0,,WOS:000443221300117,1,42,1530-0277,,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Smoker MP, 2018, V42, P42A"
"Background By the traditional definition of unintended weight loss, cachexia develops in similar to 80% of patients with pancreatic ductal adenocarcinoma (PDAC). Here, we measure the longitudinal body composition changes in patients with advanced PDAC undergoing 5-fluorouracil, leucovorin, irinotecan, and oxaliplatin therapy. Methods We performed a retrospective review of 53 patients with advanced PDAC on 5-fluorouracil, leucovorin, irinotecan, and oxaliplatin as first line therapy at Indiana University Hospital from July 2010 to August 2015. Demographic, clinical, and survival data were collected. Body composition measurement by computed tomography (CT), trend, univariate, and multivariate analysis were performed. Results Among all patients, three cachexia phenotypes were identified. The majority of patients, 64%, had Muscle and Fat Wasting (MFW), while 17% had Fat-Only Wasting (FW) and 19% had No Wasting (NW). NW had significantly improved overall median survival (OMS) of 22.6months vs. 13.0months for FW and 12.2months for MFW (P = 0.02). FW (HR = 5.2; 95% confidence interval = 1.5-17.3) and MFW (HR = 1.8; 95% confidence interval = 1.1-2.9) were associated with an increased risk of mortality compared with NW. OMS and risk of mortality did not differ between FW and MFW. Progression of disease, sarcopenic obesity at diagnosis, and primary tail tumours were also associated with decreased OMS. On multivariate analysis, cachexia phenotype and chemotherapy response were independently associated with survival. Notably, CT-based body composition analysis detected tissue loss of >5% in 81% of patients, while the traditional definition of >5% body weight loss identified 56.6%. Conclusions Distinct cachexia phenotypes were observed in this homogeneous population of patients with equivalent stage, diagnosis, and first-line treatment. This suggests cellular, molecular, or genetic heterogeneity of host or tumour. Survival among patients with FW was as poor as for MFW, indicating adipose tissue plays a crucial role in cachexia and PDAC mortality. Adipose tissue should be studied for its mechanistic contributions to cachexia.",,,"Bell, TM|Couch, ME|Kays, JK|Kohli, MD|Koniaris, LG|O'Neill, BH|Shahda, S|Stanley, M|Zimmers, TA","Bell, Teresa M.|Couch, Marion E.|Kays, Joshua K.|Kohli, Marc D.|Koniaris, Leonidas G.|O'Neill, Bert H.|Shahda, Safi|Stanley, Melissa|Zimmers, Teresa A.",673,-1,,,,,,,-1,,-1,,,,,,,,Article,10.1002/jcsm.12307,,,,684,Clarivate Analytics Web of Science,,,,,,2190-6009,4,,,JOURNAL OF CACHEXIA SARCOPENIA AND MUSCLE,,,,SKELETAL-MUSCLE|ADIPOSE-TISSUE|LUNG-CANCER|WEIGHT-LOSS|ADENOCARCINOMA|CHEMOTHERAPY|OBESITY|INHIBITION|PREVALENCE|SARCOPENIA,-1,,Cachexia|Pancreatic cancer|Sarcopenia|FOLFIRINOX|Muscle wasting,,AUG,J,2018,,,,,,"Geriatrics & Gerontology|Medicine, General & Internal",,-1,,Geriatrics & Gerontology; General & Internal Medicine,,0,Three cachexia phenotypes and the impact of fat-only loss on survival in FOLFIRINOX therapy for pancreatic cancer,0,,WOS:000442345000006,1,9,,29978562,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Kays JK, 2018, V9, P673, DOI 10.1002/jcsm.12307"
"Background Concerns about teratogenicity and maternal and offspring complications restrict the use of lithium during pregnancy for the treatment of mood disorders. We aimed to investigate the association between in-utero lithium exposure and risk of pregnancy complications, delivery outcomes, neonatal morbidity, and congenital malformations. Methods In this meta-analysis, primary data from pregnant women and their children from six international cohorts based in the community (Denmark, Sweden, and Ontario, Canada) and in clinics (the Netherlands, UK, and USA) were analysed. Pregnancies were eligible for analysis if the pregnancy resulted in a liveborn singleton between 1997 and 2015, if health-related information was available for both mother and infant, and if the mother had a mood disorder (bipolar disorder or major depressive disorder) or if she had been given lithium during pregnancy (at least two dispensations of lithium during pregnancy that were dispensed any time from 1 month before conception until the delivery, or a single lithium dispensation during pregnancy when there was at least one other lithium dispensation within 6 months before or after this date). Pregnancies during which the mother had been prescribed known teratogenic drugs were excluded. Pregnancies were grouped into a lithium-exposed group and a mood disorder reference group. The main outcome measures were pregnancy complications, delivery outcomes, neonatal readmission to hospital within 28 days of birth, and congenital malformations (major malformations and major cardiac malformations). Analyses were done at each site by use of a shared protocol. Adjusted odds ratios (aORs) and 95% CIs were calculated by use of logistic regression models, and site-specific prevalence rates and ORs were pooled by use of random-effects meta-analytical models. Findings 22124 eligible pregnancies were identified across the six cohorts, of which 727 pregnancies were eligible for inclusion in the lithium-exposed group (557 [77%] from register-based cohorts and 170 [23%] from clinical cohorts). Lithium exposure was not associated with any of the predefined pregnancy complications or delivery outcomes. An increased risk for neonatal readmission within 28 days of birth was seen in the lithium-exposed group compared with the reference group (pooled prevalence 27.5% [95% CI 15.8-39.1] vs 14.3% [10. 4-18. 2]; pooled aOR 1.62, 95% CI 1.12-2.33). Lithium exposure during the first trimester was associated with an increased risk of major malformations (pooled prevalence 7.4% [95% CI 4. 0-10. 7] vs 4.3% [3.7-4.8]; pooled aOR 1.71, 95% CI 1.07-2.72) but for major cardiac malformations the difference was not significant (2.1% [0.5-3.7] vs 1.6% [1.0-2.1]; pooled aOR 1.54, 95% CI 0.64-3.70). Interpretation Considering both the effect sizes and the precision of the estimates in this meta-analysis, treatment decisions for pregnant women with mood disorders must weigh the potential for increased risks of lithium during pregnancy-in particular those associated with use of lithium during the first trimester-against its effectiveness at reducing relapse.",,,"Bergink, V|Brown, HK|Di Florio, A|D'Onofrio, BM|Gomes, T|Howard, LM|Khalifeh, H|Krohn, H|Larsson, H|Lichtenstein, P|Liu, XQ|Meltzer-Brody, S|Munk-Olsen, T|Taylor, CL|Van Kamp, I|Vigod, SN|Viktorin, A|Wesseloo, R","Bergink, Veerle|Brown, Hilary K.|Di Florio, Arianna|D'Onofrio, Brian M.|Gomes, Tara|Howard, Louise M.|Khalifeh, Hind|Krohn, Holly|Larsson, Henrik|Lichtenstein, Paul|Liu, Xiaoqin|Meltzer-Brody, Samantha|Munk-Olsen, Trine|Taylor, Clare L.|Van Kamp, Inge|Vigod, Simone N.|Viktorin, Alexander|Wesseloo, Richard",644,-1,,,,,,,-1,,-1,,,,,,,,Article,10.1016/S2215-0366(18)30180-9,,,,652,Clarivate Analytics Web of Science,,,,,,2215-0374,8,,,LANCET PSYCHIATRY,,,,IN-UTERO EXPOSURE|BIPOLAR DISORDER|RISK|MALFORMATIONS|TOXICITY|WOMEN,-1,"Viktorin, Alexander/0000-0003-2141-2816; Howard, Louise/0000-0001-9942-744X; Taylor, Clare/0000-0002-6181-1400; Munk-Olsen, Trine/0000-0002-0786-7147",,,AUG,J,2018,,,,,,Psychiatry,,-1,,Psychiatry,,0,Maternal and infant outcomes associated with lithium use in pregnancy: an international collaborative meta-analysis of six cohort studies,0,,WOS:000440070600023,1,5,,29929874,C:\Users\mginda\Desktop\agc1\wos-extract.isi,"Munk-Olsen T, 2018, V5, P644, DOI 10.1016/S2215-0366(18)30180-9"
