id,fullname,fullname-revised,name,name-revised
WOS:000084879000008,"Crosby, RA|Meyerson, B|Yarber, WL","Crosby, Richard A.|Meyerson, Beth E.|Yarber, WL","Crosby, RA|Meyerson, B|Yarber, WL","Crosby, RA|Meyerson, BE|Yarber, WL"
WOS:000086377000004,"Pescosolido, BA|Rubin, BA","Pescosolido, Bernice A.|Rubin, BA","Pescosolido, BA|Rubin, BA","Pescosolido, BA|Rubin, BA"
WOS:000086690400095,"Lane, K|Litzelman, D|Seshadri, R|Srinivasan, M","Lane, Kathleen|Litzelman, Debra K.|Seshadri, R|Srinivasan, M","Lane, K|Litzelman, D|Seshadri, R|Srinivasan, M","Lane, K|Litzelman, DK|Seshadri, R|Srinivasan, M"
WOS:000086690400431,"Ciccarelli, M|Johannessohn, M|Kroenke, K|Litzelman, D","Ciccarelli, M|Johannessohn, M|Kroenke, Kurt|Litzelman, Debra K.","Ciccarelli, M|Johannessohn, M|Kroenke, K|Litzelman, D","Ciccarelli, M|Johannessohn, M|Kroenke, K|Litzelman, DK"
WOS:000087674000005,"Link, BG|Pescosolido, BA|Phelan, JC|Stueve, A","Link, BG|Pescosolido, Bernice A.|Phelan, JC|Stueve, A","Link, BG|Pescosolido, BA|Phelan, JC|Stueve, A","Link, BG|Pescosolido, BA|Phelan, JC|Stueve, A"
WOS:000087674000006,"Martin, JK|Pescosolido, BA|Tuch, SA","Martin, JK|Pescosolido, Bernice A.|Tuch, SA","Martin, JK|Pescosolido, BA|Tuch, SA","Martin, JK|Pescosolido, BA|Tuch, SA"
WOS:000088151500003,"Heller, K|Kikuzawa, S|Pescosolido, B|Swindle, R","Heller, K|Kikuzawa, S|Pescosolido, Bernice A.|Swindle, R","Heller, K|Kikuzawa, S|Pescosolido, B|Swindle, R","Heller, K|Kikuzawa, S|Pescosolido, BA|Swindle, R"
WOS:000089038200139,"Lane, K|Litzelman, D|Seshadri, R|Srinivasan, M","Lane, Kathleen|Litzelman, Debra K.|Seshadri, R|Srinivasan, M","Lane, K|Litzelman, D|Seshadri, R|Srinivasan, M","Lane, K|Litzelman, DK|Seshadri, R|Srinivasan, M"
WOS:000165604000014,"Bordley, DR|Litzelman, DK","Bordley, DR|Litzelman, Debra K.","Bordley, DR|Litzelman, DK","Bordley, DR|Litzelman, DK"
WOS:000167454201863,"Chua, Z|Lin, H","Chua, Z|Lin, Hsien Chang","Chua, Z|Lin, H","Chua, Z|Lin, HC"
WOS:000168571400084,"Bowen, JL|Embi, PJ|Singer, E","Bowen, JL|Embi, Peter J.|Singer, E","Bowen, JL|Embi, PJ|Singer, E","Bowen, JL|Embi, PJ|Singer, E"
WOS:000169490400006,"Aalsma, MC|Lapsley, DK|Varshney, NM","Aalsma, Matthew C.|Lapsley, DK|Varshney, NM","Aalsma, MC|Lapsley, DK|Varshney, NM","Aalsma, MC|Lapsley, DK|Varshney, NM"
WOS:000169764700002,"Brady, D|Hostetter, C|Milkie, MA|Pescosolido, BA","Brady, D|Hostetter, C|Milkie, MA|Pescosolido, Bernice A.","Brady, D|Hostetter, C|Milkie, MA|Pescosolido, BA","Brady, D|Hostetter, C|Milkie, MA|Pescosolido, BA"
WOS:000171451100006,"Embi, PJ","Embi, Peter J.","Embi, PJ","Embi, PJ"
WOS:000173710100004,"Aalsma, MC|Fortenberry, JD|Orr, DP","Aalsma, Matthew C.|Fortenberry, J. Dennis|Orr, Donald P.","Aalsma, MC|Fortenberry, JD|Orr, DP","Aalsma, MC|Fortenberry, JD|Orr, DP"
WOS:000173710100098,"Aalsma, MC|Fortenberry, JD|Orr, DP","Aalsma, Matthew C.|Fortenberry, J. Dennis|Orr, Donald P.","Aalsma, MC|Fortenberry, JD|Orr, DP","Aalsma, MC|Fortenberry, JD|Orr, DP"
WOS:000173949200015,"Babbott, SF|Hofer, TP|Litzelman, DK|Lubitz, RM|Williams, BC","Babbott, SF|Hofer, TP|Litzelman, Debra K.|Lubitz, RM|Williams, BC","Babbott, SF|Hofer, TP|Litzelman, DK|Lubitz, RM|Williams, BC","Babbott, SF|Hofer, TP|Litzelman, DK|Lubitz, RM|Williams, BC"
WOS:000174558800034,"Crosby, RA|DiClemente, RJ|Meyerson, B|Wingood, GM|Yarber, WL","Crosby, Richard A.|DiClemente, RJ|Meyerson, Beth E.|Wingood, GM|Yarber, WL","Crosby, RA|DiClemente, RJ|Meyerson, B|Wingood, GM|Yarber, WL","Crosby, RA|DiClemente, RJ|Meyerson, BE|Wingood, GM|Yarber, WL"
WOS:000174704000022,"Aalsma, MC|Orr, DP|Spencer, JM|Zimet, GD","Aalsma, Matthew C.|Orr, Donald P.|Spencer, JM|Zimet, Gregory D.","Aalsma, MC|Orr, DP|Spencer, JM|Zimet, GD","Aalsma, MC|Orr, DP|Spencer, JM|Zimet, GD"
WOS:000174757600002,"Martin, JK|Pescosolido, BA|Tuch, SA","Martin, JK|Pescosolido, Bernice A.|Tuch, SA","Martin, JK|Pescosolido, BA|Tuch, SA","Martin, JK|Pescosolido, BA|Tuch, SA"
WOS:000180226200002,"Aalsma, MC|Blythe, M|Fortenberry, JD|Orr, DP|Zimet, GD","Aalsma, Matthew C.|Blythe, Margaret J.|Fortenberry, J. Dennis|Orr, Donald P.|Zimet, Gregory D.","Aalsma, MC|Blythe, M|Fortenberry, JD|Orr, DP|Zimet, GD","Aalsma, MC|Blythe, M|Fortenberry, JD|Orr, DP|Zimet, GD"
WOS:000180538400095,"Aalsma, MC|Fortenberry, JD|Orr, DP","Aalsma, Matthew C.|Fortenberry, J. Dennis|Orr, Donald P.","Aalsma, MC|Fortenberry, JD|Orr, DP","Aalsma, MC|Fortenberry, JD|Orr, DP"
WOS:000181553000005,"Croghan, TW|Lubell, K|Martin, J|Pescosolido, BA|Schnittker, J|Swindle, R|Tomlin, M","Croghan, TW|Lubell, K|Martin, J|Pescosolido, Bernice A.|Schnittker, J|Swindle, R|Tomlin, M","Croghan, TW|Lubell, K|Martin, J|Pescosolido, BA|Schnittker, J|Swindle, R|Tomlin, M","Croghan, TW|Lubell, K|Martin, J|Pescosolido, BA|Schnittker, J|Swindle, R|Tomlin, M"
WOS:000181897900010,"Aalsma, MC|Fortenberry, JD|Orr, DP","Aalsma, Matthew C.|Fortenberry, J. Dennis|Orr, Donald P.","Aalsma, MC|Fortenberry, JD|Orr, DP","Aalsma, MC|Fortenberry, JD|Orr, DP"
WOS:000182255100390,"Counsell, SR|Litzelman, DK|Westmoreland, GR","Counsell, Steven R.|Litzelman, Debra K.|Westmoreland, Glenda R.","Counsell, SR|Litzelman, DK|Westmoreland, GR","Counsell, SR|Litzelman, DK|Westmoreland, GR"
WOS:000185492400005,"Pescosolido, B|Tai-Seale, M","Pescosolido, Bernice A.|Tai-Seale, M","Pescosolido, B|Tai-Seale, M","Pescosolido, BA|Tai-Seale, M"
WOS:000186611800015,"Calabrese, LH|Embi, PJ|Forghani, B|Gilden, DH|Lederman, RJ|Russman, AN","Calabrese, LH|Embi, Peter J.|Forghani, B|Gilden, DH|Lederman, RJ|Russman, AN","Calabrese, LH|Embi, PJ|Forghani, B|Gilden, DH|Lederman, RJ|Russman, AN","Calabrese, LH|Embi, PJ|Forghani, B|Gilden, DH|Lederman, RJ|Russman, AN"
WOS:000188290000023,"Aalsma, MC|Fortenberry, JD|Orr, DP|Woodrome, SE|Zimet, GD","Aalsma, Matthew C.|Fortenberry, J. Dennis|Orr, Donald P.|Woodrome, Stacy E.|Zimet, Gregory D.","Aalsma, MC|Fortenberry, JD|Orr, DP|Woodrome, SE|Zimet, GD","Aalsma, MC|Fortenberry, JD|Orr, DP|Woodrome, SE|Zimet, GD"
WOS:000188290000074,"Aalsma, MC|Fife, KH|Fortenberry, JD|LeJeune, BC|Rosenthal, SL|Zimet, GD","Aalsma, Matthew C.|Fife, KH|Fortenberry, J. Dennis|LeJeune, Brenna C.|Rosenthal, Susan L.|Zimet, Gregory D.","Aalsma, MC|Fife, KH|Fortenberry, JD|LeJeune, BC|Rosenthal, SL|Zimet, GD","Aalsma, MC|Fife, KH|Fortenberry, JD|LeJeune, BC|Rosenthal, SL|Zimet, GD"
WOS:000188290000085,"Aalsma, MC|Fortenberry, JD|Orr, DP","Aalsma, Matthew C.|Fortenberry, J. Dennis|Orr, Donald P.","Aalsma, MC|Fortenberry, JD|Orr, DP","Aalsma, MC|Fortenberry, JD|Orr, DP"
WOS:000189418100127,"Embi, PJ|Hersh, WR|Olson, DD|Price, SL","Embi, Peter J.|Hersh, William R.|Olson, DD|Price, SL","Embi, PJ|Hersh, WR|Olson, DD|Price, SL","Embi, PJ|Hersh, WR|Olson, DD|Price, SL"
WOS:000207625200007,"Cooney, Thomas G.|Desai, Sima|Embi, Peter J.","Cooney, Thomas G.|Desai, Sima|Embi, Peter J.","Cooney, TG|Desai, S|Embi, PJ","Cooney, TG|Desai, S|Embi, PJ"
WOS:000208630300002,"Hoch, Shawn C.|Liu, Gilbert C.|Wiehe, Sarah E.","Hoch, Shawn C.|Liu, Gilbert C.|Wiehe, Sarah E.","Hoch, SC|Liu, GC|Wiehe, SE","Hoch, SC|Liu, GC|Wiehe, SE"
WOS:000208686200008,"Embi, P. J.|Johnson, S. B.|Mendonca, E.|Payne, P. R. O.|Starren, J.","Embi, Peter J.|Johnson, Stephen B.|Mendonca, E.|Payne, Philip R. O.|Starren, J.","Embi, PJ|Johnson, SB|Mendonca, E|Payne, PRO|Starren, J","Embi, PJ|Johnson, SB|Mendonca, E|Payne, PRO|Starren, J"
WOS:000208989300002,"Aalsma, Matthew C.|Blythe, Margaret J.|Harezlak, Jaroslaw|Rosenman, Marc B.|Tong, Yan","Aalsma, Matthew C.|Blythe, Margaret J.|Harezlak, Jaroslaw|Rosenman, Marc B.|Tong, Yan","Aalsma, MC|Blythe, MJ|Harezlak, J|Rosenman, MB|Tong, Y","Aalsma, MC|Blythe, MJ|Harezlak, J|Rosenman, MB|Tong, Y"
WOS:000209200600124,"Brown, Joshua W.|Jahn, Andrew|Nee, Derek Evan","Brown, Joshua W.|Jahn, Andrew|Nee, Derek Evan","Brown, JW|Jahn, A|Nee, DE","Brown, JW|Jahn, A|Nee, DE"
WOS:000209506600018,"Aalsma, M. C.|Burgess, A. W.|Fortenberry, J.|Rosenman, M. B.|Wiehe, S.","Aalsma, Matthew C.|Burgess, Aaron W.|Fortenberry, J. Dennis|Rosenman, Marc B.|Wiehe, Sarah E.","Aalsma, MC|Burgess, AW|Fortenberry, J|Rosenman, MB|Wiehe, S","Aalsma, MC|Burgess, AW|Fortenberry, J|Rosenman, MB|Wiehe, SE"
WOS:000209506600327,"Arno, J. N.|Fortenberry, J. D.|Garfein, R.|Gunn, J.|Hensel, D. J.|Roth, A. M.|Wiehe, S. E.","Arno, Janet N.|Fortenberry, J. Dennis|Garfein, Richard S.|Gunn, J.|Hensel, Devon J.|Roth, Alexis M.|Wiehe, Sarah E.","Arno, JN|Fortenberry, JD|Garfein, R|Gunn, J|Hensel, DJ|Roth, AM|Wiehe, SE","Arno, JN|Fortenberry, JD|Garfein, R|Gunn, J|Hensel, DJ|Roth, AM|Wiehe, SE"
